value,count
198,3
2038,3
2049,3
2068,3
211,3
221,3
2400,3
3005,3
3392,3
41,3
4694,3
5876,3
600,3
770,3
805,3
9535,3
9863,3
-1915,2
-26,2
-4,2
1014,2
1016,2
1023,2
1051,2
1125,2
114,2
1175,2
1225,2
1280,2
1350,2
1379,2
1431,2
1440,2
1451,2
1454,2
1460,2
1476,2
1480,2
1483,2
1484,2
1485,2
1505,2
1506,2
1507,2
1513,2
1522,2
1531,2
1553,2
1556,2
1565,2
1575,2
1582,2
1592,2
1614,2
1678,2
191,2
193,2
199,2
2,2
2032,2
205,2
2066,2
2067,2
2069,2
2071,2
2105,2
219,2
250,2
2527,2
276,2
295,2
3000,2
305,2
3462,2
3901,2
4000,2
41993,2
4262,2
437,2
4415,2
4540,2
4757,2
4809,2
501,2
550,2
5600,2
66,2
668,2
69,2
7,2
77,2
8013,2
8037,2
8041,2
8052,2
8082,2
906,2
95,2
9501,2
9650,2
9687,2
-1157274,1
-14,1
-1854,1
-1940,1
-20,1
-27,1
-578636,1
-7,1
1008,1
1010,1
1011,1
1019,1
1025,1
1031,1
1033,1
1037,1
104,1
1042,1
1046,1
105,1
1050,1
1054,1
106,1
1061,1
1065,1
1067,1
1071,1
1077,1
108,1
1081,1
1082,1
1086,1
109,1
1090,1
111,1
1111,1
1115,1
1124,1
1140,1
115,1
1151,1
1165,1
1178,1
1179,1
1182,1
1187,1
1189,1
1190,1
1210,1
1215,1
1217,1
1229,1
1230,1
1257,1
1265,1
1269,1
1274,1
1285,1
1292,1
1351,1
1360,1
1369,1
137,1
1376,1
138,1
1432,1
1435,1
1436,1
1437,1
1447,1
1455,1
1458,1
1461,1
1463,1
1464,1
1467,1
1469,1
147,1
1471,1
1472,1
1473,1
1474,1
1477,1
1478,1
1479,1
1491,1
1504,1
151,1
1517,1
1527,1
1532,1
1533,1
1534,1
1536,1
1538,1
1539,1
1541,1
1548,1
1557,1
1563,1
1571,1
1574,1
1576,1
1584,1
1585,1
1605,1
1606,1
169,1
175,1
177,1
181,1
186,1
195,1
196,1
20218,1
2033,1
2036,1
2051,1
2052,1
2058,1
2062,1
2081,1
2083,1
2090,1
2096,1
2103,1
2106,1
2107,1
216,1
2224,1
228,1
2300,1
2406,1
249,1
251,1
2589,1
2594,1
2700,1
2701,1
275,1
2801,1
282,1
2923,1
294,1
2964,1
2979,1
2983,1
2985,1
2994,1
301,1
316,1
317,1
325,1
335,1
337,1
3400,1
3413,1
350,1
3501,1
3654,1
367,1
3688,1
369,1
3777,1
3835,1
3866,1
3986,1
3988,1
3994,1
4006,1
4022,1
4049,1
405,1
410,1
419,1
4282,1
44,1
4426,1
4475,1
450,1
4554,1
4648,1
4689,1
48,1
481,1
483,1
484,1
4873,1
491,1
4999,1
50,1
500,1
5146,1
520,1
527,1
540,1
5500,1
5509,1
5631,1
575,1
581,1
582,1
589,1
601,1
610,1
630,1
6362,1
640,1
6619,1
6666,1
680,1
6828,1
6849,1
6941,1
6972,1
70,1
707,1
7122,1
71925,1
7385,1
7430,1
7477,1
751,1
771,1
8015,1
8107,1
8127,1
8147,1
819,1
8215,1
8341,1
880,1
886,1
910,1
919,1
9223,1
928,1
9292,1
9293,1
9315,1
932,1
9345,1
9355,1
942,1
9437,1
9498,1
950,1
9504,1
9509,1
957,1
9588,1
959,1
9621,1
9649,1
9684,1
970,1
9710,1
9712,1
9718,1
9778,1
9832,1
9894,1
997,1
9990,1
9999,1
