value,count
Newspapers,25980779
Images,3318993
Articles,875187
Archives,529483
Audio,431235
Books,253014
Other,245508
Research papers,183816
Reference sources,140914
Videos,67972
Data,57482
Manuscripts,12313
Journals,11319
Websites,9221
Stories,7271
Manuscript,1010
Groups,620
Music Score,354
Publication Issue,3
