value,count
1 colour original transparency/ies,772
Orientation: Square image,770
Paper Polychrome/Media/Photography,768
Holograph,762
1 b&w original negative(s) individual frame on 35mm strip,751
Slides (photographs) | http://vocab.getty.edu/aat/300128371,751
Brand: Unknown,750
Black-and-white negative,727
Digital audio formats,717
1 b&w photo-mechanical print(s),708
"Cellulose triacetate negative, 35mm",700
Offset photomechanical prints,684
1 piece (1 page on 1 leaf),675
cellulosic film negative,672
black and white photograph,663
Albums,661
Cellulose triacetate negative 4 x 6.5 cm,642
Positive colour transparency,638
Painting,635
engraving,629
Glass,627
1 digital sound recording(s),620
1 audiocassette(s),619
1 lantern slide : black and white ;  8.2 x 8.2 cm,617
1 piece,617
1 digital photograph(s),612
application/msword,610
1 digital image(s) .,604
Carte de visite,597
Album,596
Maps,591
Digital image file,590
Duration:,590
Watercolour/Paint/Man-made Materials,589
digital scan original photograph: h 90 mm x w 132 mm,588
mural,586
Architectural drawings,581
Magnetic Disk: Hard Drive,580
Screen prints,576
1 volume(s),575
Brand: TDK,574
Print: None.,573
1 plan(s),558
Plastic,555
Black & white copy print,553
A3 display print,552
Brand: Department of Education,552
"Dry plate glass negative, 3.25 x 4.25 inches",548
Letterpress works,548
1 C90 cassette(s),541
pencil,541
2 Electronic document(s),539
"Cellulosic film negative, 1/2 Plate",539
sheet,536
Chromolithographs,528
Speed: 7 ½ ips,526
Compact discs,525
Silk,524
Film copy negative,520
1 piece (3 pages on 1 leaf),519
Print (Postcard),511
Brand: Radio New Zealand,510
Negatives not found,509
1 photocopy/ies,500
1 map(s),499
1 electronic scan(s),489
1 photograph : black and white : 16.5 x 22 cm,483
Transcripts,483
Print (Carte de Visite),482
Ethnographic illustrations,480
"Silver gelatin glass negative, 1/1 plate",473
1 b&w original negative(s) glass half plate,472
Ms,464
Brand: Direct Imports,460
Files (Digital files),460
online resource,455
"1 map ; col., digital, TIFF file.",450
Card,450
lithograph,443
Archive Record,442
1 negative on a film strip : black and white ; 3.5 x 3.7 cm,439
3 digital cartoon(s),437
Monument,436
Cellulosic negative,435
Plans,431
Wash drawings,430
1 photograph : black and white ; 16.5 x 21.5 cm,429
Sketches,429
Nitrate negatives,426
Leaflet,425
Cardboard,423
1 compact disc(s),421
1:50000,421
1 online resource : colour illustrations Annual,413
1 slide : colour : 35 mm,413
"Black and White Print/Photographic Print/Photographic, Audio and Visual, 0 - Whole",410
"Glass negative, 1/4 plate.",410
1 map,409
Cardboard/Paper Products/Man-made Materials,408
Rocks and Minerals,406
Collodion Wet Plate/Glass Monochrome/Media/Photography,399
30 Minutes Duration,395
Correspondence,393
Seascapes,393
Glass negative ¼ plate 3.25 x 4.25 inches,392
1 b&w original negative(s) Single image on 35mm negative strip,390
10 x 15,380
Copy print,380
Oil paintings,378
1 slide : colour ; 5 x 5 cm,370
Electronic-eCollection,370
Colour Sheet Film,369
One digital image,369
Pencil,366
1 digital sound recording(s) digital sound recording(s),362
1:31680,362
Positive lantern slide,362
1 digital photograph,359
1 b&w original negative(s) (Individual image on negative strip),358
Brand: BASF,353
Coloured/Ink/Man-made Materials,353
Manuscript maps,352
Brand: Scotch,348
Programme,346
1 b&w copy photographic print(s),345
1 oil(s),345
Paint,344
1 photograph : colour ; 10 x 15 cm,342
Soft negative,339
"¼ plate Glass negative, 3.25 x 4.25 inches",337
1 photograph,335
audio/mpeg,335
Demo recordings,334
1 online resource : illustrations (chiefly colour),333
1 online resource : colour illustration,331
HxW (2D objects YxX): H 50 W 50mm (H 1 15/16 W 1 15/16in),329
"1/2 plate Glass negative, 4.75 x 6.5 inches",326
Glass plate negative; H 120mm x L 163mm,326
Wool,326
1 piece (4 pages on 1 leaf),318
Gelatin dry plate negative,315
1 photograph : black and white ; 9 x 14 cm,314
image/png,314
Print (black and white),312
Colour positive,310
Leather,307
Aerial views,304
Glass Plate Negative,304
Relief prints,301
1 page,299
Landscapes (Representations),299
Typescripts,299
1 colour original photographic print(s),297
"Film negative, 1/4 plate",297
Jpeg,296
Brand: TEAC,295
1 b&w original negative(s) individual image on a 35mm negative strip,294
box,294
"Glass negative, 6.5 x 8.5 inches",292
Updated irregularly Began in the 1990s?,292
Wet collodion negatives,290
Gelatin half plate,289
1 online resource colour illustrations,286
Cabinet photographs,286
4 colour original negative(s) 120 colour negative film,284
Black and white proof sheet,282
Electronic upload,282
1 online resource Annual,280
"Negative, 120 mm., Black and White Negative. Print: None. Image Condition: Good.",277
1 glass plate negative ; 6 x 8 inch.,274
Gelatin developing-out paper,274
1/2 plate Glass negative,273
Cellulosic film negative ¼ plate,270
Film strip : black and white ; 3.5 x 7.6 cm,270
Ink,270
"Silver gelatin glass negative, ¼ plate",270
Dry plate glass negative 4.25 x 3.25 inches,269
