content_partner,primary_collection,items_total,usage,count,usage_total
Auckland University of Technology,Tuwhera,7686,Modify,547,7686
Auckland University of Technology,Tuwhera,7686,Use commercially,428,7686
Auckland War Memorial Museum Tāmaki Paenga Hira,Auckland Museum Collections,248155,Modify,138094,248155
Auckland War Memorial Museum Tāmaki Paenga Hira,Auckland Museum Collections,248155,Share,138094,248155
Auckland War Memorial Museum Tāmaki Paenga Hira,Auckland Museum Collections,248155,Use commercially,137850,248155
Auckland War Memorial Museum Tāmaki Paenga Hira,Auckland Museum Collections,248155,All rights reserved,110061,248155
Auckland War Memorial Museum Tāmaki Paenga Hira,Auckland War Memorial Museum Tāmaki Paenga Hira Flickr,756,All rights reserved,756,756
Auckland War Memorial Museum Tāmaki Paenga Hira,Auckland War Memorial Museum Tāmaki Paenga Hira YouTube,623,All rights reserved,618,623
Auckland War Memorial Museum Tāmaki Paenga Hira,Auckland War Memorial Museum Tāmaki Paenga Hira YouTube,623,Modify,5,623
Auckland War Memorial Museum Tāmaki Paenga Hira,Auckland War Memorial Museum Tāmaki Paenga Hira YouTube,623,Share,5,623
Auckland War Memorial Museum Tāmaki Paenga Hira,Auckland War Memorial Museum Tāmaki Paenga Hira YouTube,623,Use commercially,5,623
Auckland War Memorial Museum Tāmaki Paenga Hira,Cenotaph Database,184397,Modify,184397,184397
Auckland War Memorial Museum Tāmaki Paenga Hira,Cenotaph Database,184397,Share,184397,184397
Auckland War Memorial Museum Tāmaki Paenga Hira,Cenotaph Database,184397,Use commercially,184397,184397
Audio Foundation,Audio Foundation,168,All rights reserved,168,168
Audio Foundation,Audio Foundation YouTube,136,All rights reserved,136,136
AudioCulture,AudioCulture,1338,Modify,1338,1338
AudioCulture,AudioCulture,1338,Share,1338,1338
Australian National Maritime Museum,Australian National Maritime Museum Flickr,126,Modify,126,126
Australian National Maritime Museum,Australian National Maritime Museum Flickr,126,Share,126,126
Australian National Maritime Museum,Australian National Maritime Museum Flickr,126,Use commercially,126,126
Beacon Pathway Ltd,Beacon,308,All rights reserved,308,308
Bronwyn Holloway-Smith,Ghosts In The Form Of Gifts,10,Modify,10,10
Bronwyn Holloway-Smith,Ghosts In The Form Of Gifts,10,Share,10,10
Bronwyn Holloway-Smith,Ghosts In The Form Of Gifts,10,Use commercially,9,10
"Buller, Grey and Westland District Libraries",Kete West Coast,3740,Modify,2992,3740
